name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
宏图高科,11.98,11.99,11.77,12.06,11.5,11.77,11.78,11336806,133059592.0,69,11.77,103,11.76,369,11.75,127,11.74,13,11.73,477,11.78,393,11.79,461,11.8,250,11.81,155,11.83,2017-04-20,14:46:43,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11343706,133140805.0,103,11.76,389,11.75,127,11.74,13,11.73,52,11.72,61,11.77,477,11.78,393,11.79,461,11.8,250,11.81,2017-04-20,14:46:46,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11343706,133140805.0,103,11.76,389,11.75,127,11.74,13,11.73,52,11.72,61,11.77,264,11.78,393,11.79,454,11.8,250,11.81,2017-04-20,14:46:51,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11343906,133143159.0,103,11.76,389,11.75,127,11.74,13,11.73,52,11.72,71,11.77,264,11.78,393,11.79,458,11.8,250,11.81,2017-04-20,14:46:58,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354606,133268995.0,369,11.75,127,11.74,13,11.73,52,11.72,168,11.71,100,11.76,67,11.77,264,11.78,393,11.79,438,11.8,2017-04-20,14:47:04,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354606,133268995.0,369,11.75,127,11.74,13,11.73,52,11.72,168,11.71,100,11.76,77,11.77,205,11.78,393,11.79,438,11.8,2017-04-20,14:47:07,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354906,133272523.0,369,11.75,127,11.74,33,11.73,52,11.72,168,11.71,97,11.76,77,11.77,205,11.78,393,11.79,418,11.8,2017-04-20,14:47:10,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354906,133272523.0,369,11.75,127,11.74,33,11.73,213,11.72,168,11.71,97,11.76,77,11.77,170,11.78,393,11.79,416,11.8,2017-04-20,14:47:13,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354906,133272523.0,369,11.75,127,11.74,33,11.73,213,11.72,168,11.71,97,11.76,77,11.77,170,11.78,380,11.79,416,11.8,2017-04-20,14:47:15,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11354906,133272523.0,361,11.75,127,11.74,33,11.73,205,11.72,168,11.71,97,11.76,77,11.77,170,11.78,341,11.79,416,11.8,2017-04-20,14:47:19,600122
宏图高科,11.98,11.99,11.75,12.06,11.5,11.75,11.76,11363106,133368903.0,309,11.75,86,11.74,33,11.73,205,11.72,168,11.71,67,11.76,77,11.77,170,11.78,341,11.79,416,11.8,2017-04-20,14:47:25,600122
宏图高科,11.98,11.99,11.75,12.06,11.5,11.75,11.76,11363206,133370078.0,308,11.75,86,11.74,33,11.73,205,11.72,168,11.71,77,11.76,77,11.77,170,11.78,341,11.79,416,11.8,2017-04-20,14:47:28,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11374306,133500614.0,60,11.76,308,11.75,86,11.74,74,11.73,205,11.72,67,11.77,170,11.78,341,11.79,416,11.8,250,11.81,2017-04-20,14:47:34,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,30,11.76,308,11.75,86,11.74,74,11.73,205,11.72,67,11.77,170,11.78,341,11.79,416,11.8,250,11.81,2017-04-20,14:47:37,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,38,11.76,308,11.75,86,11.74,74,11.73,205,11.72,67,11.77,170,11.78,471,11.79,416,11.8,250,11.81,2017-04-20,14:47:40,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,39,11.76,308,11.75,86,11.74,74,11.73,205,11.72,67,11.77,170,11.78,471,11.79,446,11.8,250,11.81,2017-04-20,14:47:43,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,39,11.76,308,11.75,86,11.74,74,11.73,205,11.72,67,11.77,172,11.78,471,11.79,446,11.8,250,11.81,2017-04-20,14:47:46,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,39,11.76,308,11.75,86,11.74,74,11.73,205,11.72,77,11.77,172,11.78,471,11.79,446,11.8,250,11.81,2017-04-20,14:47:49,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,39,11.76,308,11.75,86,11.74,74,11.73,205,11.72,77,11.77,172,11.78,471,11.79,466,11.8,250,11.81,2017-04-20,14:47:52,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,49,11.76,308,11.75,86,11.74,74,11.73,205,11.72,77,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:47:55,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,76,11.76,308,11.75,86,11.74,74,11.73,205,11.72,77,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:47:58,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11377306,133535894.0,76,11.76,318,11.75,86,11.74,74,11.73,205,11.72,77,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:48:01,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11377806,133541779.0,76,11.76,318,11.75,86,11.74,74,11.73,205,11.72,72,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:48:04,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11377806,133541779.0,176,11.76,317,11.75,86,11.74,74,11.73,205,11.72,72,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:48:10,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11378906,133554726.0,176,11.76,317,11.75,86,11.74,74,11.73,205,11.72,70,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:48:13,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11379906,133566496.0,176,11.76,317,11.75,86,11.74,80,11.73,205,11.72,60,11.77,172,11.78,471,11.79,466,11.8,251,11.81,2017-04-20,14:48:16,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11380806,133577084.0,214,11.76,317,11.75,86,11.74,80,11.73,205,11.72,66,11.77,172,11.78,476,11.79,466,11.8,251,11.81,2017-04-20,14:48:22,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11380906,133578261.0,217,11.76,317,11.75,86,11.74,80,11.73,205,11.72,65,11.77,172,11.78,476,11.79,466,11.8,251,11.81,2017-04-20,14:48:25,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11381906,133590031.0,217,11.76,317,11.75,86,11.74,80,11.73,205,11.72,68,11.77,172,11.78,476,11.79,466,11.8,251,11.81,2017-04-20,14:48:28,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11381906,133590031.0,217,11.76,317,11.75,86,11.74,80,11.73,205,11.72,68,11.77,172,11.78,476,11.79,469,11.8,251,11.81,2017-04-20,14:48:37,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11383906,133613571.0,217,11.76,317,11.75,86,11.74,80,11.73,205,11.72,48,11.77,172,11.78,476,11.79,469,11.8,251,11.81,2017-04-20,14:48:40,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11383906,133613571.0,216,11.76,321,11.75,86,11.74,80,11.73,205,11.72,48,11.77,172,11.78,476,11.79,469,11.8,251,11.81,2017-04-20,14:48:43,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11383906,133613571.0,216,11.76,321,11.75,86,11.74,80,11.73,205,11.72,48,11.77,172,11.78,476,11.79,474,11.8,251,11.81,2017-04-20,14:48:46,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11385206,133628869.0,213,11.76,321,11.75,86,11.74,80,11.73,205,11.72,43,11.77,172,11.78,476,11.79,474,11.8,251,11.81,2017-04-20,14:48:52,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11387406,133654763.0,213,11.76,333,11.75,86,11.74,80,11.73,205,11.72,21,11.77,172,11.78,476,11.79,474,11.8,251,11.81,2017-04-20,14:48:55,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11387406,133654763.0,213,11.76,383,11.75,86,11.74,80,11.73,205,11.72,21,11.77,172,11.78,476,11.79,474,11.8,251,11.81,2017-04-20,14:48:58,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387606,133657116.0,222,11.76,388,11.75,86,11.74,80,11.73,205,11.72,20,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:04,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387606,133657116.0,222,11.76,388,11.75,86,11.74,80,11.73,205,11.72,27,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:07,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387606,133657116.0,222,11.76,396,11.75,86,11.74,80,11.73,205,11.72,27,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:10,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387706,133658292.0,221,11.76,396,11.75,86,11.74,80,11.73,205,11.72,27,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:13,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387706,133658292.0,221,11.76,396,11.75,86,11.74,80,11.73,205,11.72,37,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:16,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11387706,133658292.0,221,11.76,396,11.75,86,11.74,80,11.73,205,11.72,87,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:25,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11388206,133664177.0,223,11.76,396,11.75,80,11.74,80,11.73,205,11.72,82,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:31,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11388206,133664177.0,223,11.76,396,11.75,80,11.74,80,11.73,205,11.72,142,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:34,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11388206,133664177.0,243,11.76,396,11.75,80,11.74,80,11.73,205,11.72,152,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:40,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11391106,133698305.0,238,11.76,396,11.75,80,11.74,80,11.73,205,11.72,148,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:46,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11391606,133704190.0,238,11.76,396,11.75,80,11.74,80,11.73,205,11.72,143,11.77,172,11.78,476,11.79,478,11.8,251,11.81,2017-04-20,14:49:49,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11391606,133704190.0,238,11.76,396,11.75,80,11.74,80,11.73,205,11.72,143,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:49:55,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11401606,133821790.0,138,11.76,396,11.75,80,11.74,80,11.73,205,11.72,143,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:01,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11401606,133821790.0,188,11.76,396,11.75,80,11.74,80,11.73,205,11.72,158,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:04,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11401606,133821790.0,188,11.76,396,11.75,80,11.74,80,11.73,205,11.72,158,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:13,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11401606,133821790.0,188,11.76,396,11.75,80,11.74,80,11.73,205,11.72,143,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:16,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.76,11.77,11404606,133857070.0,158,11.76,396,11.75,80,11.74,80,11.73,205,11.72,143,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:25,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.76,11.77,11420006,134038178.0,8,11.76,396,11.75,80,11.74,80,11.73,205,11.72,139,11.77,172,11.78,476,11.79,478,11.8,256,11.81,2017-04-20,14:50:34,600122
宏图高科,11.98,11.99,11.75,12.06,11.5,11.75,11.76,11422306,134065211.0,381,11.75,80,11.74,80,11.73,205,11.72,168,11.71,232,11.76,139,11.77,192,11.78,476,11.79,478,11.8,2017-04-20,14:50:37,600122
宏图高科,11.98,11.99,11.76,12.06,11.5,11.75,11.76,11423506,134079323.0,391,11.75,80,11.74,80,11.73,205,11.72,168,11.71,220,11.76,139,11.77,192,11.78,476,11.79,478,11.8,2017-04-20,14:50:43,600122
宏图高科,11.98,11.99,11.75,12.06,11.5,11.75,11.76,11425306,134100481.0,381,11.75,80,11.74,60,11.73,205,11.72,168,11.71,222,11.76,149,11.77,192,11.78,476,11.79,478,11.8,2017-04-20,14:50:49,600122
